epoch, loss, endMap, avrgR, avrgQ
0,0.3240281865994136,8,0.042659863532676,0
1,0.020914518587912125,23,0.14269444643239412,5.8327836990356445
2,0.02475024356196323,2,-0.006977564466569547,4.286006784439087
3,0.019217988401651384,8,0.04741668547359059,2.4945530593395233
4,0.011871106028857248,8,0.062255788239712694,2.4373278509486807
5,0.012957851306224863,8,0.05116514963507625,3.103504643553779
6,0.010174270654873299,8,0.023080642035977535,1.376919101024496
7,0.0067367962611994394,9,0.04292649931001067,1.4301696775688066
8,0.006519470552448183,8,0.04278889033615305,2.937342048755714
9,0.007391489551713068,5,0.00918035447600341,3.6061949072213006
10,0.008190287219670913,18,0.07993083065556637,4.737816943062676
11,0.00833569645571212,8,0.04333044328921684,2.514367744778142
12,0.007441171176421145,8,0.02005325100163844,2.660735887450141
13,0.007136201712613304,13,0.029499979358828917,5.766474109888077
14,0.012591304132714866,8,0.060672463061939255,1.741394080221653
15,0.01037934051360935,12,0.016555169675498513,4.166074323654175
16,0.015533557943999765,8,0.033697054827072116,3.3939704852444783
17,0.011025389581918715,27,0.18393098485417564,4.2954224109649655
18,0.009339880532740305,5,0.02108597486858437,3.8148219691855565
19,0.0069993866941270725,34,0.22521143127427107,4.901667251036717
20,0.014354489821319776,8,0.02784312480301669,2.9066033254067105
21,0.007733564709002774,17,0.129586811323551,2.4595478793322028
22,0.008796354533017924,8,0.03156400469850904,1.340999573469162
23,0.007464662756926068,5,0.005762060499984456,3.3829119689762592
24,0.006085488537792117,8,0.008241135243011052,3.3592353509417894
25,0.009993498620266716,20,0.10994044189816816,3.7855010126766406
26,0.010758379534818232,18,0.07678435126660935,3.6238313943147658
27,0.006212514421317431,8,0.07285771002650182,1.395902802546819
28,0.011487351429338256,33,0.13641798712185516,4.327256965637207
29,0.01843674541140596,33,0.2052595721375998,3.743721140132231
30,0.01518950006420103,7,0.029368922389609028,3.6954944121837614
31,0.010669955983757974,23,0.1520893157261668,4.509553527832031
32,0.009569155029021205,28,-0.014637475321072319,3.946480296692758
33,0.01590650245314464,38,0.18223380374452117,4.499738414147321
34,0.0195271944697015,22,0.1501756120913031,3.0486943906621087
35,0.010244549320389828,37,0.046244925868366156,4.072433917709951
36,0.009741086078962931,8,0.05005782709984188,0.6958012580871582
37,0.028260481309456128,8,0.03187441420804401,3.1444026980289195
38,0.0388658660138026,8,0.03857905868463466,2.420614685561206
39,0.005437858214912314,13,0.03562015550297783,4.014083172327706
40,0.013551515090124061,7,0.11369296816347987,3.9647845923900604
41,0.024165371114698544,8,0.04991727602250407,2.037513187298408
42,0.029584747795015576,17,0.06642265107148809,4.778865244585214
43,0.040718831602328774,16,0.06787536671480672,3.8970212464531264
44,0.018699913903449977,7,0.03390575441761781,2.7237358465137187
45,0.019512945660463875,8,0.060071293689334816,1.704782871901989
46,0.011877142451703548,25,0.14634014600555698,4.549674366837118
47,0.009585533835537108,21,0.072450830872135,3.921477356269246
