epoch, loss, endMap, avrgR, avrgQ
0,0.00558929752248029,8,0.04969648918100088,0
1,0.01584593333808395,8,0.04224237441874619,3.6474130153656006
2,0.0139313163922634,9,0.02184787300962553,2.4537401497364044
3,0.02117442405316979,8,0.06326552092798998,1.2005161419510841
4,0.0138489155122079,5,0.005955896926156119,3.5008737363598565
5,0.015964518336501594,4,0.027458722514839218,4.235452441608205
6,0.013659797187234896,31,0.17152664606699122,3.8999940156936646
7,0.01989688404835761,5,0.026868389402468648,5.339702814817429
8,0.024689082396216692,6,0.026725400012623093,3.3347181046710297
9,0.009138334939101093,7,0.010724601046102933,3.141057537152217
10,0.013638090565800662,5,0.012622384054610197,3.0662763612023713
11,0.014972068998230321,8,0.06919327425196241,1.9433960604667664
12,0.010277756527066232,6,0.009443837071953965,3.556084086065707
13,0.00990550967554251,5,0.04229147874274245,3.333227176964283
14,0.007795650336580974,21,0.08957732191745772,4.283573278160983
15,0.014904358768835663,21,0.12275256468955972,4.461897831824091
16,0.01025214936817065,24,0.1216369380343805,4.045723380044449
17,0.016935644273956618,8,0.05759376858636626,1.9451759672164917
18,0.015443699328849713,13,0.09597455215518799,4.721278312660399
19,0.013680676369306942,23,0.1470735660226482,3.1866118998631188
20,0.01070413107983768,6,0.03282506865245342,2.6498205721378327
21,0.012071254748540622,8,0.05418219922790648,2.612474739551544
22,0.007252263603731989,8,0.038366339173723354,0
23,0.00794861374112467,7,0.03388772857302735,3.150613061406396
24,0.011462053732636078,8,0.04886430739808915,2.4650729309837773
25,0.006928423135541381,12,0.07353334805196228,4.969610286693947
26,0.007784622413215831,8,0.05708486175867084,1.8850070227656448
27,0.011921855560503902,8,0.05455513611478991,2.523608852710043
28,0.005812172242440283,27,0.1383051090647492,3.866769719932039
29,0.01613732953090221,9,-0.04845609145645956,3.8085228728525564
30,0.01306829571335887,8,0.04352545859882079,2.148117780685425
31,0.01559462260765334,25,0.150546337450599,3.159142386582163
32,0.010614314319876332,16,0.06776733566577861,4.540098288229534
33,0.0078756580563087,8,0.06842946873831392,1.674766111990501
34,0.01588769767328467,8,0.04635724827193649,2.1571571271713466
35,0.010425304337404672,8,0.027064746217996205,2.5674580625693
36,0.019609655011445286,8,-0.0035075822404253935,5.925769052722237
37,0.010570520662392181,32,0.1470366586715539,4.766063174731295
38,0.011455373754724857,37,0.2749068767687797,4.324968047142029
39,0.012608148334547875,5,0.036513459754550046,3.315545349071423
40,0.008117970917373896,8,0.04943710408647354,2.1519217033718907
41,0.008631120251181224,15,0.07849837847046867,0
42,0.01636331141568147,8,0.060559190577757174,2.0351825729831234
43,0.010829340464745957,17,0.04753216995209697,4.453954459708414
44,0.019010651228018104,37,0.1368625526028533,5.686416652940569
45,0.016444807285442953,23,0.12784349112614232,3.819804067413012
46,0.028427251726388932,8,0.041108472092621834,2.117718116158531
47,0.009406216942394774,10,0.03936223359820441,4.950144699641636
48,0.019505184707231817,20,0.07555077739010163,5.314877494176229
49,0.011141147996919851,24,0.12560937648107287,4.565018880367279
50,0.01696215160811941,26,0.20750049874700321,4.695167075428698
51,0.021211407810139162,13,0.03242637461308168,4.325849537666027
52,0.019244698576318723,37,0.19241774330502642,5.241658230217135
53,0.018092902769955496,34,0.12376427102846715,4.268211215439409
54,0.019607730278124406,20,0.061173735996326306,4.466685477867722
55,0.012682518172077835,35,0.23334554989860573,5.1599040312587094
56,0.022827733617860002,8,0.06828790706216341,1.597482973879034
57,0.009020092138089242,35,0.1585299899107925,4.422898653514531
58,0.022800549215947586,34,0.14827512033147747,3.6491305271041727
59,0.0285158816507707,17,0.05927170771587567,3.2096830698160024
60,0.0233401866350323,7,0.031387764570266014,2.2173963624697466
61,0.03212993243709206,32,0.25335823088227066,3.6710313859806267
62,0.029579941205059485,33,0.1756359106200701,4.61091245048576
63,0.014413015508713822,8,0.04694303284892925,2.438224655389786
64,0.00942782473822053,8,0.06862538275740261,1.876170795014564
65,0.02381313041473429,21,0.11824679038024333,3.1118696589857855
66,0.01680517854945113,33,0.2276394392189155,3.5501214382789468
67,0.03431233376948641,8,0.07243041654420984,2.1328349113464355
68,0.017420750291397172,34,0.21525563605431358,4.6100870837336005
69,0.018814200650279715,36,0.18108504623619573,4.131831631460021
70,0.015380925239684685,34,0.1504416633184834,6.347069978713989
71,0.021721229882289965,37,0.27648936637975063,3.252132998991616
72,0.015342337647452948,29,0.2016912401297316,4.161141617954532
73,0.014800147979431565,8,0.063796931834547,1.8603678345680237
74,0.015581504864773402,32,0.20807443712600457,4.222437508496237
75,0.013267938890494406,33,0.2589662723288178,3.3018321053435407
76,0.019534357424514988,21,0.12575211745061501,3.53863482773304
77,0.02915007031522691,37,0.21363498997252747,4.492637883061948
78,0.014373294906605275,8,0.07280283034873603,1.8544113983710606
79,0.021720133996568615,31,0.20140529491998216,4.240915879734561
80,0.018431042033868535,28,0.15001636635790688,5.13594637657034
81,0.017307381552333634,27,0.14757312454383595,3.7829701579919384
82,0.020065355884532135,8,0.003659775799593118,4.34735107421875
83,0.02015593008836731,8,0.049919968198953495,2.061580481917359
84,0.026686417072390514,20,0.041082678838604295,5.733484732068104
85,0.021284167105332014,31,0.1935825283297703,5.377611493835082
86,0.023197093255197018,28,0.1613407694748043,3.657646900283233
87,0.02573718731291592,34,0.19076368393453294,4.904503590100772
88,0.02375987404491753,32,0.169155805652267,4.158968170842854
89,0.01835866435042893,37,0.15510284932700402,3.517029083989285
90,0.030343134242676848,8,0.07001484418804547,1.9942259064742498
91,0.020676413544764124,31,0.25867252442809857,4.002032328889055
92,0.02202545616154869,9,0.026959667608880397,2.8575571485255895
93,0.028179078139364717,7,0.03269293038308316,3.9004237887760005
94,0.030283324549285062,23,0.13278915446862735,4.230482052692345
95,0.02296146442182362,33,0.2288918819871345,3.826025514870651
96,0.020184370717033735,36,0.2652181922402737,4.405377087514262
97,0.021762139721152682,8,0.04168171983474495,2.7626461124420167
98,0.019845189868867623,8,0.05633909215076089,2.0336827653295853
99,0.021997523032636804,8,0.07453328565575026,1.6445213617110739
100,0.015696156198779742,33,0.1870945984023692,4.767584578858481
101,0.022451432019782554,36,0.1201595641202279,4.58761152768867
102,0.02782588029590746,21,0.15258806336847985,4.44391710156793
103,0.01590858372937267,8,0.04476056340543657,2.618988705717999
104,0.013460807928349826,30,0.1652330415663331,4.195520754470381
105,0.03345070802296201,8,0.041493917403708995,2.1991954108079272
106,0.03327869100806613,25,-0.02912307656148036,5.143907534604778
107,0.016051688760829467,44,0.30668584864170173,3.329960987874956
108,0.02479134475812316,19,0.10994248283562186,4.342504742946334
109,0.01935915753866236,37,0.18447170744426114,5.024002246784441
110,0.02154039400319259,9,0.013960157160161309,4.614216950961522
111,0.021547930313584703,32,0.21020953138077644,3.9975223395289206
112,0.021304280475402865,8,0.047744323133174824,2.391161300241947
113,0.020388308283872898,28,0.20691678926525545,2.2652188587015956
114,0.02278896719682962,24,0.12796359150218145,5.279517340991232
115,0.018489029669823746,33,0.20030570746675438,4.348496906720638
116,0.021676477727143918,8,0.042962078014496356,2.3862513973162724
117,0.018815565290860828,32,0.1024827248740886,4.059999885091793
118,0.015693630057493926,8,0.06665665395348949,1.4168057577765507
119,0.019268370508216323,37,0.3129143302764387,3.8054102271795274
120,0.0192290167332006,36,0.2699963702745368,5.865803787785191
121,0.03240616223347995,31,0.11657195074131574,4.849813880207127
122,0.03341184957848431,8,0.05254703127872743,2.1036283373832703
123,0.021285000983625645,17,0.053756842708486116,5.4149981494303105
124,0.02977536793099717,36,0.23111430240330494,3.9487849234137684
125,0.02756702531905224,8,0.043077756612979454,2.358535017286028
126,0.014749143171745043,37,0.228434720708249,4.4787247004332364
127,0.03344809127059609,24,0.1304611535956645,3.329278560604636
128,0.014194557458007089,33,0.2249707161941989,4.293380678402928
129,0.018321812222711745,28,0.17332106565738165,3.497076182790539
130,0.024437783829916012,8,0.06689902635557538,1.4820992756397167
131,0.01483930518773074,8,0.05507643899731122,2.127977831289172
132,0.014636317651408416,33,0.10811505883854,4.903094504096291
133,0.017587487787629166,29,0.17599600281733835,4.329094165106221
134,0.028060955903492862,34,0.17493817784824542,5.250704652141957
135,0.01652618362645929,5,0.017135775684290047,3.8357213964064916
